time,cell,location_x,location_y,InfectionStatus.Susceptible,InfectionStatus.Exposed,InfectionStatus.InfectASympt,InfectionStatus.InfectMild,InfectionStatus.InfectGP,InfectionStatus.InfectHosp,InfectionStatus.InfectICU,InfectionStatus.InfectICURecov,InfectionStatus.Recovered,InfectionStatus.Dead
5.0,8766623747597,0.3333333333333333,0.6666666666666666,9889,15,0,3,1,0,0,0,2,0
6.0,8766623767679,0.0,0.0,10021,33,3,4,0,0,0,0,2,0
6.0,8766623740157,0.3333333333333333,0.0,9993,42,3,5,2,0,0,0,1,0
6.0,8766623746082,0.6666666666666666,0.0,10009,22,1,4,2,0,0,0,1,0
6.0,8766623746115,1.0,0.0,10142,10,1,1,0,0,0,0,0,0
6.0,8766623746148,0.0,0.3333333333333333,9861,42,3,3,3,0,0,0,2,0
6.0,8766623746181,0.3333333333333333,0.3333333333333333,9919,30,4,5,3,0,0,0,2,0
6.0,8766623746214,0.6666666666666666,0.3333333333333333,9831,41,2,6,1,0,0,0,0,0
6.0,8766623746247,1.0,0.3333333333333333,9933,11,1,4,3,0,0,0,0,0
6.0,8766623746280,0.0,0.6666666666666666,10037,27,5,5,3,0,0,0,1,0
6.0,8766623747597,0.3333333333333333,0.6666666666666666,9869,29,3,6,1,0,0,0,2,0
7.0,8766623767679,0.0,0.0,9998,49,6,7,0,0,0,0,3,0
7.0,8766623740157,0.3333333333333333,0.0,9955,67,12,7,4,0,0,0,1,0
7.0,8766623746082,0.6666666666666666,0.0,9990,33,3,6,4,0,0,0,3,0
7.0,8766623746115,1.0,0.0,10128,22,2,2,0,0,0,0,0,0
7.0,8766623746148,0.0,0.3333333333333333,9830,64,6,8,4,0,0,0,2,0
7.0,8766623746181,0.3333333333333333,0.3333333333333333,9888,55,7,6,4,0,0,0,3,0
7.0,8766623746214,0.6666666666666666,0.3333333333333333,9796,67,5,8,5,0,0,0,0,0
7.0,8766623746247,1.0,0.3333333333333333,9915,26,2,5,4,0,0,0,0,0
7.0,8766623746280,0.0,0.6666666666666666,10007,50,8,7,5,0,0,0,1,0
7.0,8766623747597,0.3333333333333333,0.6666666666666666,9829,63,4,10,2,0,0,0,2,0
8.0,8766623767679,0.0,0.0,9943,97,9,10,0,0,0,0,4,0
8.0,8766623740157,0.3333333333333333,0.0,9895,114,15,11,8,0,0,0,3,0
8.0,8766623746082,0.6666666666666666,0.0,9937,81,6,7,5,0,0,0,3,0
8.0,8766623746115,1.0,0.0,10089,53,5,4,3,0,0,0,0,0
8.0,8766623746148,0.0,0.3333333333333333,9776,102,11,15,6,0,0,0,4,0
8.0,8766623746181,0.3333333333333333,0.3333333333333333,9821,114,9,10,5,0,0,0,4,0
8.0,8766623746214,0.6666666666666666,0.3333333333333333,9744,104,9,14,9,0,0,0,1,0
8.0,8766623746247,1.0,0.3333333333333333,9887,51,3,6,5,0,0,0,0,0
8.0,8766623746280,0.0,0.6666666666666666,9959,87,14,9,8,0,0,0,1,0
8.0,8766623747597,0.3333333333333333,0.6666666666666666,9772,107,8,15,6,0,0,0,2,0
9.0,8766623767679,0.0,0.0,9870,143,18,19,7,0,0,0,6,0
9.0,8766623740157,0.3333333333333333,0.0,9825,147,23,29,17,0,0,0,5,0
9.0,8766623746082,0.6666666666666666,0.0,9858,147,13,9,7,0,0,0,5,0
9.0,8766623746115,1.0,0.0,10037,91,7,10,7,0,0,0,2,0
9.0,8766623746148,0.0,0.3333333333333333,9687,164,21,22,12,1,0,0,7,0
9.0,8766623746181,0.3333333333333333,0.3333333333333333,9731,173,24,16,14,0,0,0,5,0
9.0,8766623746214,0.6666666666666666,0.3333333333333333,9650,176,14,24,13,0,0,0,4,0
9.0,8766623746247,1.0,0.3333333333333333,9842,85,7,11,6,0,0,0,1,0
9.0,8766623746280,0.0,0.6666666666666666,9876,135,23,26,16,0,0,0,2,0
9.0,8766623747597,0.3333333333333333,0.6666666666666666,9656,203,13,21,13,0,0,0,4,0
10.0,8766623767679,0.0,0.0,9737,246,31,27,14,0,0,0,8,0
10.0,8766623740157,0.3333333333333333,0.0,9669,262,36,44,27,0,0,0,8,0
10.0,8766623746082,0.6666666666666666,0.0,9712,257,25,23,15,0,0,0,7,0
10.0,8766623746115,1.0,0.0,9948,161,14,17,10,0,0,0,4,0
10.0,8766623746148,0.0,0.3333333333333333,9540,272,36,38,17,1,0,0,10,0
10.0,8766623746181,0.3333333333333333,0.3333333333333333,9552,299,44,42,20,0,0,0,6,0
10.0,8766623746214,0.6666666666666666,0.3333333333333333,9495,295,25,40,21,1,0,0,4,0
10.0,8766623746247,1.0,0.3333333333333333,9746,162,13,20,9,0,0,0,2,0
10.0,8766623746280,0.0,0.6666666666666666,9748,232,29,38,25,0,0,0,6,0
10.0,8766623747597,0.3333333333333333,0.6666666666666666,9473,328,38,44,23,0,0,0,4,0
11.0,8766623767679,0.0,0.0,9500,421,48,52,27,0,0,0,15,0
11.0,8766623740157,0.3333333333333333,0.0,9381,481,60,74,40,0,0,0,10,0
11.0,8766623746082,0.6666666666666666,0.0,9444,475,36,45,29,0,0,0,10,0
11.0,8766623746115,1.0,0.0,9809,264,27,30,18,0,0,0,6,0
11.0,8766623746148,0.0,0.3333333333333333,9277,479,48,65,28,2,0,0,15,0
11.0,8766623746181,0.3333333333333333,0.3333333333333333,9239,535,73,70,33,0,0,0,13,0
11.0,8766623746214,0.6666666666666666,0.3333333333333333,9232,494,47,63,39,1,0,0,5,0
11.0,8766623746247,1.0,0.3333333333333333,9579,289,24,38,15,0,0,0,7,0
11.0,8766623746280,0.0,0.6666666666666666,9521,412,41,55,36,1,0,0,12,0
11.0,8766623747597,0.3333333333333333,0.6666666666666666,9233,503,59,66,40,1,0,0,8,0
12.0,8766623767679,0.0,0.0,9137,683,79,87,45,2,1,0,29,0
12.0,8766623740157,0.3333333333333333,0.0,8910,836,95,132,53,1,0,0,19,0
12.0,8766623746082,0.6666666666666666,0.0,9027,782,75,86,55,0,0,0,14,0
12.0,8766623746115,1.0,0.0,9528,465,55,62,36,0,0,0,8,0
12.0,8766623746148,0.0,0.3333333333333333,8862,804,82,97,47,2,0,0,20,0
12.0,8766623746181,0.3333333333333333,0.3333333333333333,8754,908,110,114,58,0,0,0,19,0
